,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,5820日盛金,2330台積電,2883開發金,,2330台積電,,
1,2481強茂,2454聯發科,2542興富發,,2412中華電,,
2,,2882國泰金,4961天鈺,,2303聯電,,
3,,2886兆豐金,2481強茂,,2882國泰金,,
4,,5880合庫金,3260威剛,,1326台化,,
5,,2880華南金,6451訊芯-KY,,2881富邦金,,
6,,2883開發金,3707漢磊,,2886兆豐金,,
7,,2542興富發,,,1216統一,,
8,,3529力旺,,,3045台灣大,,
9,,5522遠雄,,,2884玉山金,,
10,,2845遠東銀,,,2912統一超,,
11,,6274台燿,,,2892第一金,,
12,,4128中天,,,5880合庫金,,
13,,2392正崴,,,1101台泥,,
14,,3703欣陸,,,2880華南金,,
15,,8406金可-KY,,,4904遠傳,,
16,,3035智原,,,2357華碩,,
17,,1309台達化,,,2801彰銀,,
18,,3707漢磊,,,5876上海商銀,,
19,,3131弘塑,,,4938和碩,,
20,,6120達運,,,2474可成,,
21,,,,,1402遠東新,,
22,,,,,2890永豐金,,
23,,,,,8046南電,,
24,,,,,5269祥碩,,
25,,,,,2377微星,,
26,,,,,9921巨大,,
27,,,,,2324仁寶,,
28,,,,,3231緯創,,
29,,,,,2356英業達,,
30,,,,,2385群光,,
31,,,,,3044健鼎,,
32,,,,,2542興富發,,
33,,,,,1434福懋,,
34,,,,,3529力旺,,
35,,,,,5522遠雄,,
36,,,,,2809京城銀,,
37,,,,,3443創意,,
38,,,,,2449京元電子,,
39,,,,,2458義隆,,
40,,,,,2404漢唐,,
41,,,,,2915潤泰全,,
42,,,,,3189景碩,,
43,,,,,6271同欣電,,
44,,,,,2441超豐,,
45,,,,,2108南帝,,
46,,,,,6005群益證,,
47,,,,,4142國光生,,
48,,,,,6182合晶,,
49,,,,,2455全新,,
50,,,,,6756威鋒電子,,
51,,,,,2312金寶,,
52,,,,,2481強茂,,
53,,,,,5457宣德,,
54,,,,,8406金可-KY,,
55,,,,,4919新唐,,
56,,,,,2851中再保,,
57,,,,,8112至上,,
58,,,,,3035智原,,
59,,,,,2338光罩,,
60,,,,,6120達運,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
