,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2481強茂,2330台積電,2883開發金,2239英利-KY,2330台積電,,
1,3131弘塑,2454聯發科,6548長科*,,2412中華電,,
2,,2886兆豐金,4961天鈺,,1303南亞,,
3,,2884玉山金,2481強茂,,2882國泰金,,
4,,2912統一超,3260威剛,,1326台化,,
5,,5880合庫金,6451訊芯-KY,,2881富邦金,,
6,,2880華南金,4919新唐,,2886兆豐金,,
7,,2383台光電,3707漢磊,,1216統一,,
8,,5820日盛金,,,3045台灣大,,
9,,2812台中銀,,,2207和泰車,,
10,,2006東和鋼鐵,,,2884玉山金,,
11,,2845遠東銀,,,2912統一超,,
12,,6274台燿,,,2892第一金,,
13,,6196帆宣,,,5880合庫金,,
14,,8406金可-KY,,,2395研華,,
15,,2851中再保,,,2880華南金,,
16,,1309台達化,,,5871中租-KY,,
17,,3707漢磊,,,2379瑞昱,,
18,,8163達方,,,4904遠傳,,
19,,,,,5347世界,,
20,,,,,2801彰銀,,
21,,,,,5876上海商銀,,
22,,,,,4938和碩,,
23,,,,,9910豐泰,,
24,,,,,2474可成,,
25,,,,,1402遠東新,,
26,,,,,2887台新金,,
27,,,,,2890永豐金,,
28,,,,,8046南電,,
29,,,,,5269祥碩,,
30,,,,,2377微星,,
31,,,,,9921巨大,,
32,,,,,2324仁寶,,
33,,,,,4966譜瑞-KY,,
34,,,,,3231緯創,,
35,,,,,2356英業達,,
36,,,,,2385群光,,
37,,,,,3044健鼎,,
38,,,,,2542興富發,,
39,,,,,2383台光電,,
40,,,,,1434福懋,,
41,,,,,8069元太,,
42,,,,,3529力旺,,
43,,,,,5522遠雄,,
44,,,,,2809京城銀,,
45,,,,,3443創意,,
46,,,,,2449京元電子,,
47,,,,,2812台中銀,,
48,,,,,2458義隆,,
49,,,,,2404漢唐,,
50,,,,,2915潤泰全,,
51,,,,,3189景碩,,
52,,,,,2838聯邦銀,,
53,,,,,6271同欣電,,
54,,,,,3653健策,,
55,,,,,2441超豐,,
56,,,,,2108南帝,,
57,,,,,6005群益證,,
58,,,,,2368金像電,,
59,,,,,3081聯亞,,
60,,,,,6182合晶,,
61,,,,,6756威鋒電子,,
62,,,,,2481強茂,,
63,,,,,5457宣德,,
64,,,,,2351順德,,
65,,,,,1305華夏,,
66,,,,,4919新唐,,
67,,,,,2851中再保,,
68,,,,,8112至上,,
69,,,,,2605新興,,
70,,,,,8255朋程,,
71,,,,,2338光罩,,
72,,,,,6223旺矽,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
