,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2382廣達,,2105正新,6505台塑化,,
1,8406金可-KY,,4551智伸科,2382廣達,,
2,3707漢磊,,2393億光,2912統一超,,
3,3131弘塑,,8406金可-KY,1101台泥,,
4,,,3707漢磊,6415矽力-KY,,
5,,,2009第一銅,5347世界,,
6,,,,2357華碩,,
7,,,,4938和碩,,
8,,,,9910豐泰,,
9,,,,1102亞泥,,
10,,,,2301光寶科,,
11,,,,5269祥碩,,
12,,,,1476儒鴻,,
13,,,,9921巨大,,
14,,,,4966譜瑞-KY,,
15,,,,8454富邦媒,,
16,,,,2347聯強,,
17,,,,3702大聯大,,
18,,,,2385群光,,
19,,,,2542興富發,,
20,,,,1434福懋,,
21,,,,3533嘉澤,,
22,,,,3529力旺,,
23,,,,5522遠雄,,
24,,,,2809京城銀,,
25,,,,2458義隆,,
26,,,,2915潤泰全,,
27,,,,3005神基,,
28,,,,6491晶碩,,
29,,,,1795美時,,
30,,,,3545敦泰,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
