,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2886兆豐金,,2421建準,2382廣達,,
1,2382廣達,,,1101台泥,,
2,1565精華,,,6415矽力-KY,,
3,3035智原,,,5347世界,,
4,3228金麗科,,,2357華碩,,
5,3131弘塑,,,4938和碩,,
6,,,,9910豐泰,,
7,,,,5269祥碩,,
8,,,,1476儒鴻,,
9,,,,4966譜瑞-KY,,
10,,,,2347聯強,,
11,,,,3702大聯大,,
12,,,,2385群光,,
13,,,,2542興富發,,
14,,,,1434福懋,,
15,,,,3533嘉澤,,
16,,,,3529力旺,,
17,,,,5522遠雄,,
18,,,,2809京城銀,,
19,,,,1477聚陽,,
20,,,,2458義隆,,
21,,,,2915潤泰全,,
22,,,,6278台表科,,
23,,,,6531愛普,,
24,,,,3005神基,,
25,,,,8436大江,,
26,,,,3017奇鋐,,
27,,,,6491晶碩,,
28,,,,1795美時,,
29,,,,2351順德,,
30,,,,3035智原,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
