,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,1565精華,3006晶豪科,2353宏碁,4968立積,,1102亞泥,,
1,,1604聲寶,5820日盛金,,,5269祥碩,,
2,,,2812台中銀,,,4966譜瑞-KY,,
3,,,2006東和鋼鐵,,,2385群光,,
4,,,2634漢翔,,,6176瑞儀,,
5,,,1312國喬,,,1434福懋,,
6,,,8016矽創,,,2449京元電子,,
7,,,3218大學光,,,2915潤泰全,,
8,,,8213志超,,,3152璟德,,
9,,,3131弘塑,,,2204中華,,
10,,,8462柏文,,,1795美時,,
11,,,3530晶相光,,,8016矽創,,
12,,,,,,6202盛群,,
13,,,,,,1565精華,,
14,,,,,,8081致新,,
15,,,,,,4919新唐,,
16,,,,,,3530晶相光,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
