,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2330台積電,,,2330台積電,,
1,2886兆豐金,,,6505台塑化,,
2,2382廣達,,,2412中華電,,
3,5880合庫金,,,1303南亞,,
4,2880華南金,,,2886兆豐金,,
5,2834臺企銀,,,1216統一,,
6,3406玉晶光,,,2891中信金,,
7,1504東元,,,3045台灣大,,
8,3293鈊象,,,2207和泰車,,
9,2845遠東銀,,,2884玉山金,,
10,3131弘塑,,,2382廣達,,
11,8462柏文,,,2912統一超,,
12,2417圓剛,,,2892第一金,,
13,,,,5880合庫金,,
14,,,,2395研華,,
15,,,,1101台泥,,
16,,,,2880華南金,,
17,,,,5871中租-KY,,
18,,,,6415矽力-KY,,
19,,,,4904遠傳,,
20,,,,5347世界,,
21,,,,2357華碩,,
22,,,,2801彰銀,,
23,,,,4938和碩,,
24,,,,9910豐泰,,
25,,,,2345智邦,,
26,,,,1402遠東新,,
27,,,,1102亞泥,,
28,,,,2890永豐金,,
29,,,,2301光寶科,,
30,,,,1476儒鴻,,
31,,,,2324仁寶,,
32,,,,2356英業達,,
33,,,,2347聯強,,
34,,,,2834臺企銀,,
35,,,,3702大聯大,,
36,,,,2385群光,,
37,,,,2542興富發,,
38,,,,5274信驊,,
39,,,,1504東元,,
40,,,,6176瑞儀,,
41,,,,1434福懋,,
42,,,,3023信邦,,
43,,,,3533嘉澤,,
44,,,,5522遠雄,,
45,,,,2809京城銀,,
46,,,,2458義隆,,
47,,,,2404漢唐,,
48,,,,2915潤泰全,,
49,,,,2845遠東銀,,
50,,,,2849安泰銀,,
51,,,,6005群益證,,
52,,,,3005神基,,
53,,,,2204中華,,
54,,,,2855統一證,,
55,,,,9938百和,,
56,,,,2867三商壽,,
57,,,,6491晶碩,,
58,,,,2820華票,,
59,,,,2897王道銀行,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
