,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,5880合庫金,2330台積電,,2303聯電,2330台積電,,
1,,2886兆豐金,,3661世芯-KY,6505台塑化,,
2,,2382廣達,,3680家登,2412中華電,,
3,,2834臺企銀,,8016矽創,1303南亞,,
4,,3406玉晶光,,5457宣德,2886兆豐金,,
5,,1504東元,,,1216統一,,
6,,2845遠東銀,,,2891中信金,,
7,,8016矽創,,,3045台灣大,,
8,,3131弘塑,,,2207和泰車,,
9,,2417圓剛,,,2884玉山金,,
10,,,,,2382廣達,,
11,,,,,2912統一超,,
12,,,,,2892第一金,,
13,,,,,5880合庫金,,
14,,,,,2395研華,,
15,,,,,1101台泥,,
16,,,,,5871中租-KY,,
17,,,,,6415矽力-KY,,
18,,,,,2379瑞昱,,
19,,,,,4904遠傳,,
20,,,,,5347世界,,
21,,,,,2357華碩,,
22,,,,,2801彰銀,,
23,,,,,5876上海商銀,,
24,,,,,4938和碩,,
25,,,,,9910豐泰,,
26,,,,,2345智邦,,
27,,,,,1402遠東新,,
28,,,,,1102亞泥,,
29,,,,,2890永豐金,,
30,,,,,2301光寶科,,
31,,,,,8046南電,,
32,,,,,1476儒鴻,,
33,,,,,8464億豐,,
34,,,,,2324仁寶,,
35,,,,,3231緯創,,
36,,,,,2356英業達,,
37,,,,,2347聯強,,
38,,,,,2834臺企銀,,
39,,,,,3702大聯大,,
40,,,,,2385群光,,
41,,,,,2542興富發,,
42,,,,,5274信驊,,
43,,,,,1504東元,,
44,,,,,6176瑞儀,,
45,,,,,1434福懋,,
46,,,,,3023信邦,,
47,,,,,3533嘉澤,,
48,,,,,5522遠雄,,
49,,,,,2809京城銀,,
50,,,,,2458義隆,,
51,,,,,2404漢唐,,
52,,,,,2915潤泰全,,
53,,,,,2845遠東銀,,
54,,,,,3653健策,,
55,,,,,2849安泰銀,,
56,,,,,6005群益證,,
57,,,,,3005神基,,
58,,,,,2855統一證,,
59,,,,,9938百和,,
60,,,,,2867三商壽,,
61,,,,,6491晶碩,,
62,,,,,2820華票,,
63,,,,,3545敦泰,,
64,,,,,2897王道銀行,,
65,,,,,4736泰博,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
