,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,5820日盛金,2886兆豐金,2888新光金,,2412中華電,,
1,8210勤誠,3711日月光投控,3036文曄,,1303南亞,,
2,,2880華南金,2481強茂,,2881富邦金,,
3,,2834臺企銀,,,1216統一,,
4,,3406玉晶光,,,2891中信金,,
5,,1504東元,,,3711日月光投控,,
6,,6257矽格,,,2892第一金,,
7,,3264欣銓,,,5871中租-KY,,
8,,2481強茂,,,5347世界,,
9,,6177達麗,,,1102亞泥,,
10,,3131弘塑,,,2377微星,,
11,,4506崇友,,,2823中壽,,
12,,5287數字,,,2324仁寶,,
13,,,,,4966譜瑞-KY,,
14,,,,,3231緯創,,
15,,,,,2356英業達,,
16,,,,,9914美利達,,
17,,,,,9945潤泰新,,
18,,,,,2542興富發,,
19,,,,,1434福懋,,
20,,,,,5522遠雄,,
21,,,,,2809京城銀,,
22,,,,,2449京元電子,,
23,,,,,2404漢唐,,
24,,,,,2915潤泰全,,
25,,,,,2441超豐,,
26,,,,,2108南帝,,
27,,,,,1773勝一,,
28,,,,,2031新光鋼,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
