,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,1711永光,2382廣達,2454聯發科,2883開發金,,1301台塑,,
1,,2905三商,2886兆豐金,8046南電,,2886兆豐金,,
2,,3035智原,2880華南金,2615萬海,,2002中鋼,,
3,,1604聲寶,2883開發金,3443創意,,2382廣達,,
4,,,2324仁寶,3189景碩,,6488環球晶,,
5,,,1605華新,2905三商,,5871中租-KY,,
6,,,3443創意,2009第一銅,,2357華碩,,
7,,,2845遠東銀,1711永光,,1102亞泥,,
8,,,1723中碳,,,2301光寶科,,
9,,,8358金居,,,1476儒鴻,,
10,,,3691碩禾,,,5483中美晶,,
11,,,3707漢磊,,,2324仁寶,,
12,,,3131弘塑,,,3231緯創,,
13,,,4506崇友,,,2356英業達,,
14,,,8210勤誠,,,3702大聯大,,
15,,,,,,2385群光,,
16,,,,,,3044健鼎,,
17,,,,,,1434福懋,,
18,,,,,,6213聯茂,,
19,,,,,,5522遠雄,,
20,,,,,,2809京城銀,,
21,,,,,,3443創意,,
22,,,,,,4968立積,,
23,,,,,,3673TPK-KY,,
24,,,,,,5371中光電,,
25,,,,,,6282康舒,,
26,,,,,,3035智原,,
27,,,,,,3707漢磊,,
28,,,,,,3217優群,,
29,,,,,,1711永光,,
30,,,,,,6411晶焱,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
