,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,1605華新,2615萬海,,2308台達電,,
1,2383台光電,4968立積,,2882國泰金,,
2,5820日盛金,,,2881富邦金,,
3,2812台中銀,,,1102亞泥,,
4,2006東和鋼鐵,,,3037欣興,,
5,1909榮成,,,5269祥碩,,
6,1312國喬,,,2385群光,,
7,3218大學光,,,6176瑞儀,,
8,3707漢磊,,,2383台光電,,
9,8163達方,,,1434福懋,,
10,8213志超,,,6213聯茂,,
11,3131弘塑,,,2915潤泰全,,
12,1604聲寶,,,6278台表科,,
13,3530晶相光,,,3152璟德,,
14,,,,6285啟碁,,
15,,,,2204中華,,
16,,,,1795美時,,
17,,,,6202盛群,,
18,,,,8081致新,,
19,,,,4919新唐,,
20,,,,8255朋程,,
21,,,,3530晶相光,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
