,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2880華南金,2330台積電,2883開發金,,2330台積電,,
1,2417圓剛,3008大立光,6548長科*,,6505台塑化,,
2,,2886兆豐金,6451訊芯-KY,,2412中華電,,
3,,2382廣達,4919新唐,,2882國泰金,,
4,,2327國巨,3707漢磊,,2886兆豐金,,
5,,5876上海商銀,8255朋程,,1216統一,,
6,,2492華新科,2009第一銅,,3045台灣大,,
7,,2383台光電,,,2207和泰車,,
8,,5820日盛金,,,2884玉山金,,
9,,5522遠雄,,,2382廣達,,
10,,6147頎邦,,,2912統一超,,
11,,1909榮成,,,2892第一金,,
12,,2392正崴,,,2408南亞科,,
13,,6196帆宣,,,2880華南金,,
14,,3703欣陸,,,5871中租-KY,,
15,,3707漢磊,,,2379瑞昱,,
16,,8213志超,,,4904遠傳,,
17,,3131弘塑,,,2801彰銀,,
18,,,,,5876上海商銀,,
19,,,,,4938和碩,,
20,,,,,9910豐泰,,
21,,,,,2603長榮,,
22,,,,,2474可成,,
23,,,,,1402遠東新,,
24,,,,,2887台新金,,
25,,,,,2890永豐金,,
26,,,,,5269祥碩,,
27,,,,,2377微星,,
28,,,,,2324仁寶,,
29,,,,,3231緯創,,
30,,,,,2356英業達,,
31,,,,,2354鴻準,,
32,,,,,2385群光,,
33,,,,,3044健鼎,,
34,,,,,2542興富發,,
35,,,,,2383台光電,,
36,,,,,1434福懋,,
37,,,,,3532台勝科,,
38,,,,,5522遠雄,,
39,,,,,2809京城銀,,
40,,,,,2449京元電子,,
41,,,,,2404漢唐,,
42,,,,,2915潤泰全,,
43,,,,,3189景碩,,
44,,,,,6271同欣電,,
45,,,,,2441超豐,,
46,,,,,2108南帝,,
47,,,,,4919新唐,,
48,,,,,6223旺矽,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
