,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,3008大立光,,2421建準,2382廣達,,
1,2886兆豐金,,1519華城,6415矽力-KY,,
2,2382廣達,,6751智聯服務,5347世界,,
3,6239力成,,,4938和碩,,
4,2834臺企銀,,,9910豐泰,,
5,2351順德,,,5269祥碩,,
6,3035智原,,,4966譜瑞-KY,,
7,3707漢磊,,,2347聯強,,
8,3131弘塑,,,3702大聯大,,
9,2401凌陽,,,2385群光,,
10,,,,2542興富發,,
11,,,,1434福懋,,
12,,,,3533嘉澤,,
13,,,,3529力旺,,
14,,,,5522遠雄,,
15,,,,2809京城銀,,
16,,,,1477聚陽,,
17,,,,2458義隆,,
18,,,,2915潤泰全,,
19,,,,6278台表科,,
20,,,,6531愛普,,
21,,,,3005神基,,
22,,,,8436大江,,
23,,,,3017奇鋐,,
24,,,,1795美時,,
25,,,,2351順德,,
26,,,,4927泰鼎-KY,,
27,,,,1444力麗,,
28,,,,3035智原,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
