,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,5880合庫金,,,2308台達電,,
1,2834臺企銀,,,1303南亞,,
2,3406玉晶光,,,2002中鋼,,
3,2845遠東銀,,,2474可成,,
4,1773勝一,,,3406玉晶光,,
5,3035智原,,,5274信驊,,
6,3131弘塑,,,1477聚陽,,
7,3530晶相光,,,6269台郡,,
8,,,,8086宏捷科,,
9,,,,1304台聚,,
10,,,,1795美時,,
11,,,,3413京鼎,,
12,,,,4961天鈺,,
13,,,,2614東森,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
