,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,6274台燿,2330台積電,,,2330台積電,,
1,8406金可-KY,2327國巨,,,6505台塑化,,
2,8358金居,6669緯穎,,,2308台達電,,
3,,2492華新科,,,2379瑞昱,,
4,,3406玉晶光,,,5347世界,,
5,,2383台光電,,,3105穩懋,,
6,,6257矽格,,,3037欣興,,
7,,1565精華,,,6669緯穎,,
8,,3707漢磊,,,5269祥碩,,
9,,3131弘塑,,,5483中美晶,,
10,,4506崇友,,,2337旺宏,,
11,,,,,2383台光電,,
12,,,,,6213聯茂,,
13,,,,,3374精材,,
14,,,,,3443創意,,
15,,,,,6274台燿,,
16,,,,,2108南帝,,
17,,,,,3227原相,,
18,,,,,5469瀚宇博,,
19,,,,,3596智易,,
20,,,,,8406金可-KY,,
21,,,,,8358金居,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
