,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2303聯電,2330台積電,2883開發金,,2303聯電,,
1,5820日盛金,2327國巨,8046南電,,1102亞泥,,
2,,2880華南金,6548長科*,,2887台新金,,
3,,2883開發金,4961天鈺,,8046南電,,
4,,6239力成,3260威剛,,5269祥碩,,
5,,3406玉晶光,,,2377微星,,
6,,2383台光電,,,2823中壽,,
7,,2923鼎固-KY,,,2324仁寶,,
8,,2845遠東銀,,,3231緯創,,
9,,3706神達,,,1434福懋,,
10,,5434崇越,,,5522遠雄,,
11,,1312國喬,,,2809京城銀,,
12,,6257矽格,,,3189景碩,,
13,,8406金可-KY,,,3017奇鋐,,
14,,8163達方,,,6756威鋒電子,,
15,,3131弘塑,,,8406金可-KY,,
16,,8210勤誠,,,4919新唐,,
17,,3530晶相光,,,4927泰鼎-KY,,
18,,6605帝寶,,,6706惠特,,
19,,1614三洋電,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
