,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2382廣達,,3406玉晶光,6505台塑化,,
1,3406玉晶光,,1444力麗,2891中信金,,
2,3707漢磊,,3707漢磊,2382廣達,,
3,3131弘塑,,5471松翰,1101台泥,,
4,8462柏文,,1310台苯,6415矽力-KY,,
5,,,8404百和興業-KY,5347世界,,
6,,,,2357華碩,,
7,,,,4938和碩,,
8,,,,9910豐泰,,
9,,,,1590亞德客-KY,,
10,,,,2345智邦,,
11,,,,1102亞泥,,
12,,,,3037欣興,,
13,,,,2301光寶科,,
14,,,,8046南電,,
15,,,,1476儒鴻,,
16,,,,9921巨大,,
17,,,,4966譜瑞-KY,,
18,,,,2347聯強,,
19,,,,3702大聯大,,
20,,,,9914美利達,,
21,,,,2385群光,,
22,,,,2542興富發,,
23,,,,1434福懋,,
24,,,,3023信邦,,
25,,,,3533嘉澤,,
26,,,,3529力旺,,
27,,,,5522遠雄,,
28,,,,2809京城銀,,
29,,,,2458義隆,,
30,,,,2915潤泰全,,
31,,,,3005神基,,
32,,,,9938百和,,
33,,,,6491晶碩,,
34,,,,3545敦泰,,
35,,,,4961天鈺,,
36,,,,8081致新,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
