,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2330台積電,2883開發金,2231為升,2330台積電,,
1,3008大立光,6548長科*,1519華城,2412中華電,,
2,2886兆豐金,6451訊芯-KY,6533晶心科,1303南亞,,
3,3045台灣大,4919新唐,3059華晶科,2882國泰金,,
4,2880華南金,3707漢磊,,2881富邦金,,
5,2354鴻準,8255朋程,,2886兆豐金,,
6,2383台光電,2009第一銅,,1216統一,,
7,5820日盛金,,,2891中信金,,
8,6561是方,,,3045台灣大,,
9,2392正崴,,,2207和泰車,,
10,6196帆宣,,,2884玉山金,,
11,3707漢磊,,,2912統一超,,
12,3131弘塑,,,2892第一金,,
13,8210勤誠,,,2408南亞科,,
14,2417圓剛,,,2880華南金,,
15,,,,5871中租-KY,,
16,,,,6415矽力-KY,,
17,,,,2379瑞昱,,
18,,,,4904遠傳,,
19,,,,2801彰銀,,
20,,,,5876上海商銀,,
21,,,,4938和碩,,
22,,,,9910豐泰,,
23,,,,2603長榮,,
24,,,,2474可成,,
25,,,,1402遠東新,,
26,,,,2887台新金,,
27,,,,2890永豐金,,
28,,,,8046南電,,
29,,,,5269祥碩,,
30,,,,2377微星,,
31,,,,2324仁寶,,
32,,,,3231緯創,,
33,,,,2356英業達,,
34,,,,2354鴻準,,
35,,,,2385群光,,
36,,,,2618長榮航,,
37,,,,3044健鼎,,
38,,,,2542興富發,,
39,,,,2383台光電,,
40,,,,1434福懋,,
41,,,,8069元太,,
42,,,,5522遠雄,,
43,,,,2809京城銀,,
44,,,,2449京元電子,,
45,,,,2404漢唐,,
46,,,,2915潤泰全,,
47,,,,3189景碩,,
48,,,,6271同欣電,,
49,,,,2441超豐,,
50,,,,2108南帝,,
51,,,,6182合晶,,
52,,,,6756威鋒電子,,
53,,,,5457宣德,,
54,,,,4919新唐,,
55,,,,2605新興,,
56,,,,6223旺矽,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
