,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2454聯發科,,,2454聯發科,,
1,2886兆豐金,,,6488環球晶,,
2,3711日月光投控,,,2912統一超,,
3,5880合庫金,,,2408南亞科,,
4,6239力成,,,6415矽力-KY,,
5,2834臺企銀,,,3034聯詠,,
6,1504東元,,,5347世界,,
7,2812台中銀,,,4938和碩,,
8,3036文曄,,,9910豐泰,,
9,9958世紀鋼,,,3105穩懋,,
10,1312國喬,,,6669緯穎,,
11,6257矽格,,,5269祥碩,,
12,2351順德,,,2344華邦電,,
13,8406金可-KY,,,5483中美晶,,
14,3131弘塑,,,2324仁寶,,
15,3530晶相光,,,3231緯創,,
16,,,,2347聯強,,
17,,,,2354鴻準,,
18,,,,2337旺宏,,
19,,,,3702大聯大,,
20,,,,5274信驊,,
21,,,,1504東元,,
22,,,,6176瑞儀,,
23,,,,3532台勝科,,
24,,,,3533嘉澤,,
25,,,,3374精材,,
26,,,,3529力旺,,
27,,,,3443創意,,
28,,,,1907永豐餘,,
29,,,,2458義隆,,
30,,,,6278台表科,,
31,,,,3036文曄,,
32,,,,3653健策,,
33,,,,2441超豐,,
34,,,,8150南茂,,
35,,,,2498宏達電,,
36,,,,1313聯成,,
37,,,,4968立積,,
38,,,,6182合晶,,
39,,,,1312國喬,,
40,,,,3380明泰,,
41,,,,4961天鈺,,
42,,,,3260威剛,,
43,,,,2351順德,,
44,,,,2913農林,,
45,,,,8406金可-KY,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
