,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2880華南金,2330台積電,2882國泰金,2883開發金,,2330台積電,,
1,3264欣銓,2883開發金,2886兆豐金,8046南電,,1301台塑,,
2,,5820日盛金,2884玉山金,4961天鈺,,2303聯電,,
3,,2812台中銀,5880合庫金,3260威剛,,2882國泰金,,
4,,2845遠東銀,2327國巨,8255朋程,,1326台化,,
5,,3703欣陸,2801彰銀,,,2881富邦金,,
6,,,8046南電,,,2886兆豐金,,
7,,,2383台光電,,,2884玉山金,,
8,,,6147頎邦,,,2892第一金,,
9,,,6561是方,,,5880合庫金,,
10,,,6257矽格,,,1101台泥,,
11,,,3006晶豪科,,,2880華南金,,
12,,,2515中工,,,4904遠傳,,
13,,,8406金可-KY,,,2801彰銀,,
14,,,3035智原,,,5876上海商銀,,
15,,,6177達麗,,,2474可成,,
16,,,3131弘塑,,,1102亞泥,,
17,,,2836高雄銀,,,2883開發金,,
18,,,8210勤誠,,,2301光寶科,,
19,,,,,,8046南電,,
20,,,,,,5269祥碩,,
21,,,,,,2615萬海,,
22,,,,,,2377微星,,
23,,,,,,9921巨大,,
24,,,,,,3231緯創,,
25,,,,,,2356英業達,,
26,,,,,,3702大聯大,,
27,,,,,,3044健鼎,,
28,,,,,,1434福懋,,
29,,,,,,3374精材,,
30,,,,,,3529力旺,,
31,,,,,,5522遠雄,,
32,,,,,,2809京城銀,,
33,,,,,,2404漢唐,,
34,,,,,,2915潤泰全,,
35,,,,,,3189景碩,,
36,,,,,,2441超豐,,
37,,,,,,2723美食-KY,,
38,,,,,,2455全新,,
39,,,,,,3264欣銓,,
40,,,,,,2312金寶,,
41,,,,,,1710東聯,,
42,,,,,,2520冠德,,
43,,,,,,8406金可-KY,,
44,,,,,,4919新唐,,
45,,,,,,3035智原,,
46,,,,,,1609大亞,,
47,,,,,,2338光罩,,
48,,,,,,2340光磊,,
49,,,,,,6411晶焱,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
