,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,3228金麗科,2382廣達,,,2382廣達,,
1,,5880合庫金,,,1101台泥,,
2,,2834臺企銀,,,6415矽力-KY,,
3,,2845遠東銀,,,5347世界,,
4,,3131弘塑,,,2357華碩,,
5,,,,,4938和碩,,
6,,,,,9910豐泰,,
7,,,,,1102亞泥,,
8,,,,,2301光寶科,,
9,,,,,5269祥碩,,
10,,,,,1476儒鴻,,
11,,,,,4966譜瑞-KY,,
12,,,,,8454富邦媒,,
13,,,,,2347聯強,,
14,,,,,3702大聯大,,
15,,,,,2385群光,,
16,,,,,2542興富發,,
17,,,,,1434福懋,,
18,,,,,3533嘉澤,,
19,,,,,3529力旺,,
20,,,,,5522遠雄,,
21,,,,,2809京城銀,,
22,,,,,1477聚陽,,
23,,,,,2458義隆,,
24,,,,,2915潤泰全,,
25,,,,,6278台表科,,
26,,,,,3005神基,,
27,,,,,6491晶碩,,
28,,,,,1795美時,,
29,,,,,3228金麗科,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
