,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2886兆豐金,,4157太景*-KY,2382廣達,,
1,2382廣達,,,6415矽力-KY,,
2,6239力成,,,5347世界,,
3,3406玉晶光,,,4938和碩,,
4,2456奇力新,,,9910豐泰,,
5,1312國喬,,,2883開發金,,
6,3035智原,,,6669緯穎,,
7,3228金麗科,,,5269祥碩,,
8,3131弘塑,,,2324仁寶,,
9,,,,2347聯強,,
10,,,,2337旺宏,,
11,,,,3702大聯大,,
12,,,,3406玉晶光,,
13,,,,2542興富發,,
14,,,,6176瑞儀,,
15,,,,1434福懋,,
16,,,,3533嘉澤,,
17,,,,3529力旺,,
18,,,,5522遠雄,,
19,,,,2809京城銀,,
20,,,,3443創意,,
21,,,,1477聚陽,,
22,,,,2458義隆,,
23,,,,2404漢唐,,
24,,,,2915潤泰全,,
25,,,,6456GIS-KY,,
26,,,,6278台表科,,
27,,,,3005神基,,
28,,,,2368金像電,,
29,,,,8150南茂,,
30,,,,2498宏達電,,
31,,,,8436大江,,
32,,,,1312國喬,,
33,,,,3016嘉晶,,
34,,,,1795美時,,
35,,,,3324雙鴻,,
36,,,,2351順德,,
37,,,,3035智原,,
38,,,,6706惠特,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
